spp,t_c,block,sample,date,time,conductance,temp_C,sample_ID,sensor_serial_num,sensor_calNum,leaf_sensor_RH,filter_sensor_RH,pre_post
BA,T,A,1,8/24/16,10:36:00,279,29.5,BATA1,LPS2641,2604509,55.9,26.4,na
BA,T,A,2,8/24/16,10:38:00,625.4,29.7,BATA2,LPS2641,2604509,65.4,30.3,na
BA,T,A,3,8/24/16,10:40:00,636.9,29.9,BATA3,LPS2641,2604509,66.1,31.4,na
BA,T,A,4,8/24/16,10:43:00,361.2,29.6,BATA4,LPS2641,2604509,58.9,27.1,na
BA,T,A,5,8/24/16,10:47:00,188.2,29.4,BATA5,LPS2641,2604509,49.6,22.8,na
BA,T,A,6,8/24/16,10:49:00,429.1,29.2,BATA6,LPS2641,2604509,60.9,27.7,na
BA,T,A,7,8/24/16,10:52:00,389.3,29.4,BATA7,LPS2641,2604509,60.4,28.5,na
BA,T,A,8,8/24/16,10:56:00,557.4,29,BATA8,LPS2641,2604509,64.1,29.6,na
SF,T,B,1,8/24/16,10:59:00,853.9,28.7,SFTB1,LPS2641,2604509,68.3,31.5,na
SF,T,B,2,8/24/16,11:02:00,883.3,29.1,SFTB2,LPS2641,2604509,68.7,31.8,na
SF,T,B,3,8/24/16,11:06:00,662.5,28.2,SFTB3,LPS2641,2604509,65.6,29.7,na
SF,T,B,4,8/24/16,11:09:00,882.2,27.7,SFTB4,LPS2641,2604509,68.5,31.4,na
SF,T,B,6,8/24/16,11:13:00,629.7,27.3,SFTB6,LPS2641,2604509,65,29.2,na
SF,T,B,5,8/24/16,11:16:00,739.1,27.8,SFTB5,LPS2641,2604509,66.5,29.8,na
SF,T,B,7,8/24/16,11:20:00,660.3,27.4,SFTB7,LPS2641,2604509,65.6,29.6,na
SF,T,B,8,8/24/16,11:23:00,680.9,27.1,SFTB8,LPS2641,2604509,66,29.9,na
PB,T,B,1,8/24/16,11:27:00,658.7,28.1,PBTB1,LPS2641,2604509,65.5,29.5,na
PB,T,B,2,8/24/16,11:32:00,523.2,27.8,PBTB2,LPS2641,2604509,63.1,28.6,na
PB,T,B,3,8/24/16,11:35:00,534.8,27.7,PBTB3,LPS2641,2604509,63.5,29,na
PB,T,B,4,8/24/16,11:38:00,629.5,27.6,PBTB4,LPS2641,2604509,65.1,29.5,na
PB,T,B,5,8/24/16,11:41:00,510.4,27.3,PBTB5,LPS2641,2604509,62.3,27.3,na
PB,T,B,6,8/24/16,11:43:00,559.5,27.7,PBTB6,LPS2641,2604509,63.5,28.2,na
PB,T,B,7,8/24/16,11:46:00,390.3,28,PBTB7,LPS2641,2604509,59.5,26.8,na
PB,T,B,8,8/24/16,11:49:00,655.5,27.8,PBTB8,LPS2641,2604509,65.7,30,na
DW,T,B,1,8/24/16,11:52:00,182.3,28.1,DWTB1,LPS2641,2604509,48.8,22.2,na
DW,T,B,2,8/24/16,11:54:00,239.1,28.4,DWTB2,LPS2641,2604509,53.1,24.2,na
DW,T,B,3,8/24/16,11:57:00,60.7,28.3,DWTB3,LPS2641,2604509,28.9,12,na
DW,T,B,4,8/24/16,11:59:00,218.6,28.3,DWTB4,LPS2641,2604509,51.6,23.4,na
DW,T,B,5,8/24/16,12:01:00,119.1,28.1,DWTB5,LPS2641,2604509,42,19.2,na
DW,T,B,6,8/24/16,12:03:00,245,28,DWTB6,LPS2641,2604509,53.5,24.4,na
DW,T,B,7,8/24/16,12:06:00,291.6,28.1,DWTB7,LPS2641,2604509,55.7,25.1,na
DW,T,B,8,8/24/16,12:08:00,356.9,28.1,DWTB8,LPS2641,2604509,58.6,26.6,na
SF,T,A,1,8/24/16,13:40:00,808,30.1,SFTA1,LPS2641,2604509,66.8,29.1,na
SF,T,A,2,8/24/16,13:42:00,882,29.5,SFTA2,LPS2641,2604509,67.7,29.6,na
SF,T,A,3,8/24/16,13:44:00,882.8,29,SFTA3,LPS2641,2604509,67.8,29.8,na
SF,T,A,4,8/24/16,13:47:00,719,28.7,SFTA4,LPS2641,2604509,65.6,28.3,na
SF,T,A,5,8/24/16,13:49:00,837.6,28.6,SFTA5,LPS2641,2604509,67.3,29.5,na
SF,T,A,6,8/24/16,13:52:00,890.8,28.4,SFTA6,LPS2641,2604509,67.8,29.6,na
SF,T,A,7,8/24/16,13:54:00,861.8,28.3,SFTA7,LPS2641,2604509,67.5,29.4,na
SF,T,A,8,8/24/16,13:57:00,900.1,28.5,SFTA8,LPS2641,2604509,68,30,na
