spp,t_c,block,sample,date,time,F700_Lvl,F735_Lvl,CFR,concentration
SO,T,A,1,9/21/2016,8:28:30,607,662,1.09,301
SO,T,A,2,9/21/2016,8:28:39,703,771,1.1,307
SO,T,A,3,9/21/2016,8:28:49,480,553,1.15,339
SO,T,A,4,9/21/2016,8:28:59,437,533,1.22,384
SO,T,A,5,9/21/2016,8:29:10,814,830,1.02,257
SO,T,A,6,9/21/2016,8:29:20,689,749,1.09,301
SO,T,A,7,9/21/2016,8:29:30,622,691,1.11,314
SO,T,A,8,9/21/2016,8:29:41,684,779,1.14,333
SO,T,A,1,9/21/2016,9:55:35,564,688,1.22,384
SO,T,A,2,9/21/2016,9:55:45,613,779,1.27,415
SO,T,A,3,9/21/2016,9:55:55,325,456,1.4,498
SO,T,A,4,9/21/2016,9:56:04,351,502,1.43,517
SO,T,A,5,9/21/2016,9:56:14,806,974,1.21,377
SO,T,A,6,9/21/2016,9:56:24,729,913,1.25,403
SO,T,A,7,9/21/2016,9:56:33,486,650,1.34,460
SO,T,A,8,9/21/2016,9:56:44,637,774,1.22,384
SO,T,A,1,9/23/2016,8:38:29,430,559,1.3,434
SO,T,A,2,9/23/2016,8:38:38,551,683,1.24,396
SO,T,A,3,9/23/2016,8:38:48,289,416,1.44,523
SO,T,A,4,9/23/2016,8:38:57,255,391,1.54,587
SO,T,A,5,9/23/2016,8:39:07,651,776,1.19,364
SO,T,A,6,9/23/2016,8:39:16,549,705,1.28,422
SO,T,A,7,9/23/2016,8:39:32,350,441,1.26,409
SO,T,A,8,9/23/2016,8:39:43,448,532,1.19,364
SO,T,A,1,9/23/2016,9:44:05,401,555,1.39,491
SO,T,A,2,9/23/2016,9:44:15,775,888,1.15,339
SO,T,A,3,9/23/2016,9:44:24,358,511,1.43,517
SO,T,A,4,9/23/2016,9:44:34,283,430,1.52,574
SO,T,A,5,9/23/2016,9:44:44,694,821,1.18,358
SO,T,A,6,9/23/2016,9:44:57,624,738,1.18,358
SO,T,A,7,9/23/2016,9:45:07,530,691,1.31,441
SO,T,A,8,9/23/2016,9:45:18,607,738,1.22,384
SO,T,A,1,9/26/2016,8:34:02,514,669,1.3,434
SO,T,A,2,9/26/2016,8:34:12,561,699,1.25,403
SO,T,A,3,9/26/2016,8:34:20,380,535,1.41,504
SO,T,A,4,9/26/2016,8:34:29,219,356,1.63,644
SO,T,A,5,9/26/2016,8:34:38,549,644,1.17,352
SO,T,A,6,9/26/2016,8:34:48,349,495,1.42,511
SO,T,A,7,9/26/2016,8:34:59,372,496,1.34,460
SO,T,A,8,9/26/2016,8:35:10,378,505,1.34,460
SO,T,A,1,9/26/2016,9:23:09,450,598,1.33,453
SO,T,A,2,9/26/2016,9:23:25,528,684,1.3,434
SO,T,A,3,9/26/2016,9:23:45,223,347,1.56,599
SO,T,A,4,9/26/2016,9:23:59,242,368,1.52,574
SO,T,A,5,9/26/2016,9:24:10,434,523,1.21,377
SO,T,A,6,9/26/2016,9:24:20,475,628,1.32,447
SO,T,A,7,9/26/2016,9:24:31,368,464,1.26,409
SO,T,A,8,9/26/2016,9:24:43,310,416,1.34,460
SO,T,A,1,9/28/2016,9:07:14,436,554,1.27,415
SO,T,A,2,9/28/2016,9:07:27,479,581,1.21,377
SO,T,A,3,9/28/2016,9:07:37,254,360,1.42,511
SO,T,A,4,9/28/2016,9:08:13,222,322,1.45,530
SO,T,A,5,9/28/2016,9:08:24,442,507,1.15,339
SO,T,A,6,9/28/2016,9:08:36,566,663,1.17,352
SO,T,A,7,9/28/2016,9:08:52,387,459,1.19,364
SO,T,A,8,9/28/2016,9:09:11,623,726,1.17,352
SO,T,A,1,9/28/2016,10:11:54,427,555,1.3,434
SO,T,A,2,9/28/2016,10:12:12,605,730,1.21,377
SO,T,A,3,9/28/2016,10:12:26,303,453,1.5,561
SO,T,A,4,9/28/2016,10:12:39,264,413,1.56,599
SO,T,A,5,9/28/2016,10:13:12,587,711,1.21,377
SO,T,A,6,9/28/2016,10:13:31,624,763,1.22,384
SO,T,A,7,9/28/2016,10:13:49,384,519,1.35,466
SO,T,A,1,9/28/2016,12:21:22,580,785,1.35,466
SO,T,A,2,9/28/2016,12:21:32,715,863,1.21,377
SO,T,A,3,9/28/2016,12:21:41,1151,1246,1.08,295
SO,T,A,4,9/28/2016,12:21:49,389,560,1.44,523
SO,T,A,5,9/28/2016,12:21:58,737,852,1.16,345
SO,T,A,6,9/28/2016,12:22:06,603,792,1.31,441
SO,T,A,7,9/28/2016,12:22:16,537,703,1.31,441
SO,T,A,8,9/28/2016,12:22:25,620,780,1.26,409
SO,T,A,1,9/30/2016,8:17:28,441,583,1.32,447
SO,T,A,2,9/30/2016,8:17:42,471,616,1.31,441
SO,T,A,3,9/30/2016,8:17:57,307,474,1.54,587
SO,T,A,4,9/30/2016,8:18:47,291,452,1.56,599
SO,T,A,5,9/30/2016,8:19:01,792,939,1.19,364
SO,T,A,6,9/30/2016,8:19:16,460,644,1.4,498
SO,T,A,7,9/30/2016,8:20:14,628,818,1.3,434
SO,T,A,1,9/30/2016,9:25:49,444,489,1.1,307
SO,T,A,1,9/30/2016,9:46:02,269,368,1.37,479
SO,T,A,2,9/30/2016,9:46:14,294,387,1.32,447
SO,T,A,3,9/30/2016,9:46:25,561,648,1.16,345
SO,T,A,4,9/30/2016,9:46:34,312,378,1.21,377
SO,T,A,5,9/30/2016,9:46:46,300,369,1.23,390
SO,T,A,6,9/30/2016,9:46:56,349,466,1.34,460
SO,T,A,7,9/30/2016,9:47:08,396,488,1.23,390
SO,T,A,8,9/30/2016,9:47:19,276,361,1.31,441
SO,T,B,1,9/21/2016,8:38:44,326,381,1.17,352
SO,T,B,2,9/21/2016,8:38:52,438,520,1.19,364
SO,T,B,3,9/21/2016,8:39:04,436,513,1.18,358
SO,T,B,4,9/21/2016,8:39:14,580,657,1.13,326
SO,T,B,5,9/21/2016,8:39:23,603,669,1.11,314
SO,T,B,6,9/21/2016,8:39:33,602,623,1.04,269
SO,T,B,7,9/21/2016,8:39:43,677,714,1.06,282
SO,T,B,8,9/21/2016,8:40:00,963,932,0.97,225
SO,T,B,1,9/21/2016,10:12:11,380,530,1.4,498
SO,T,B,2,9/21/2016,10:12:20,430,590,1.37,479
SO,T,B,3,9/21/2016,10:12:29,364,513,1.41,504
SO,T,B,4,9/21/2016,10:12:38,711,863,1.21,377
SO,T,B,5,9/21/2016,10:12:47,542,697,1.29,428
SO,T,B,6,9/21/2016,10:12:56,544,666,1.23,390
SO,T,B,7,9/21/2016,10:13:05,453,596,1.32,447
SO,T,B,8,9/21/2016,10:13:14,834,990,1.19,364
SO,T,B,1,9/23/2016,8:44:32,278,414,1.49,555
SO,T,B,2,9/23/2016,8:44:45,154,195,1.27,415
SO,T,B,3,9/23/2016,8:44:59,290,435,1.5,561
SO,T,B,4,9/23/2016,8:45:10,803,942,1.17,352
SO,T,B,5,9/23/2016,8:45:21,348,490,1.41,504
SO,T,B,6,9/23/2016,8:45:31,416,541,1.3,434
SO,T,B,7,9/23/2016,8:45:42,665,803,1.21,377
SO,T,B,8,9/23/2016,8:45:51,742,848,1.14,333
SO,T,B,1,9/23/2016,10:39:25,347,466,1.35,466
SO,T,B,2,9/23/2016,10:39:37,314,476,1.52,574
SO,T,B,3,9/23/2016,10:40:36,205,320,1.57,606
SO,T,B,4,9/23/2016,10:40:48,598,753,1.26,409
SO,T,B,5,9/23/2016,10:41:00,265,414,1.56,599
SO,T,B,6,9/23/2016,10:41:17,347,471,1.36,472
SO,T,B,7,9/23/2016,10:41:30,580,712,1.23,390
SO,T,B,8,9/23/2016,10:41:43,698,833,1.19,364
SO,T,B,1,9/26/2016,8:39:33,293,432,1.48,549
SO,T,B,2,9/26/2016,8:39:42,363,504,1.39,491
SO,T,B,3,9/26/2016,8:39:52,389,542,1.39,491
SO,T,B,4,9/26/2016,8:40:01,470,525,1.12,320
SO,T,B,5,9/26/2016,8:40:13,324,472,1.46,536
SO,T,B,6,9/26/2016,8:40:24,352,460,1.31,441
SO,T,B,7,9/26/2016,8:40:33,513,617,1.2,371
SO,T,B,8,9/26/2016,8:40:43,495,610,1.23,390
