spp,t_c,block,sample,date,time,conductance,temp_C,sample_ID,sensor_serial_num,sensor_calNum,leaf_sensor_RH,filter_sensor_RH,pre_post
CO,C,B,1,9/21/16,9:46,4.4,31.9,COCB1,LPS2641,3003303,47.3,21.4,na
CO,C,B,2,9/21/16,9:48,4.2,32.5,COCB2,LPS2641,3003303,48,22,na
CO,C,B,3,9/21/16,9:49,3.7,32.3,COCB3,LPS2641,3003303,50,22.7,na
CO,C,B,4,9/21/16,9:51,5.5,32.1,COCB4,LPS2641,3003303,43.2,19.5,na
CO,C,B,5,9/21/16,9:52,4.3,32,COCB5,LPS2641,3003303,47.1,21,na
CO,C,B,6,9/21/16,9:53,6.3,31.7,COCB6,LPS2641,3003303,41,18.5,na
CO,C,B,7,9/21/16,9:55,4.2,31.6,COCB7,LPS2641,3003303,47.5,21,na
CO,C,B,8,9/21/16,9:56,4.3,31.6,COCB8,LPS2641,3003303,47.5,21.4,na
CO,C,B,1,9/23/16,10:14,4.3,28.6,COCB1,LPS2641,2203305,46.7,20.1,na
CO,C,B,2,9/23/16,10:16,6.3,29,COCB2,LPS2641,2203305,40.8,17.9,na
CO,C,B,3,9/23/16,10:18,5.2,28.9,COCB3,LPS2641,2203305,43.7,19,na
CO,C,B,4,9/23/16,10:20,6.5,28.9,COCB4,LPS2641,2203305,39.7,17,na
CO,C,B,5,9/23/16,10:22,2.9,29.3,COCB5,LPS2641,2203305,53,23.3,na
CO,C,B,6,9/23/16,10:25,5.5,29.5,COCB6,LPS2641,2203305,43,18.9,na
CO,C,B,7,9/23/16,10:28,10.8,29.2,COCB7,LPS2641,2203305,31.1,13.3,na
CO,C,B,8,9/23/16,10:29,27.6,29.1,COCB8,LPS2641,2203305,16.9,7.2,na
CO,C,B,1,9/26/16,9:10,9.6,33.2,COCB1,LPS2641,2204107,37.6,17,na
CO,C,B,2,9/26/16,9:12,10.4,33.1,COCB2,LPS2641,2204107,36.1,16.3,na
CO,C,B,3,9/26/16,9:13,3.7,33,COCB3,LPS2641,2204107,53.1,23.9,na
CO,C,B,4,9/26/16,9:14,11.4,32.9,COCB4,LPS2641,2204107,34.2,15.2,na
CO,C,B,5,9/26/16,9:15,20.8,32.8,COCB5,LPS2641,2204107,24.1,10.4,na
CO,C,B,6,9/26/16,9:17,10,32.8,COCB6,LPS2641,2204107,36.2,15.8,na
CO,C,B,7,9/26/16,9:18,6.3,32.9,COCB7,LPS2641,2204107,43.8,18.9,na
CO,C,B,8,9/26/16,9:20,14.6,33,COCB8,LPS2641,2204107,29.8,13,na
CO,C,B,1,9/28/16,11:00,27,30.9,COCB1,LPS2641,2203709,18,7.2,na
CO,C,B,2,9/28/16,11:01,11.2,30.9,COCB2,LPS2641,2203709,31,12.1,na
CO,C,B,3,9/28/16,11:02,3.8,30.8,COCB3,LPS2641,2203709,49.1,19.7,na
CO,C,B,4,9/28/16,11:04,13.3,30.7,COCB4,LPS2641,2203709,28.9,12,na
CO,C,B,5,9/28/16,11:05,3.1,30.7,COCB5,LPS2641,2203709,52.5,21.5,na
CO,C,B,6,9/28/16,11:06,6.6,30.7,COCB6,LPS2641,2203709,40.5,16.4,na
CO,C,B,7,9/28/16,11:07,17.7,30.6,COCB7,LPS2641,2203709,24,9.7,na
CO,C,B,8,9/28/16,11:09,26.8,30.5,COCB8,LPS2641,2203709,17.8,6.9,na
CO,C,B,1,9/30/16,9:36,7.9,30.4,COCB1,LPS2641,2203608,37.6,15.8,na
CO,C,B,2,9/30/16,9:38,9.3,30.3,COCB2,LPS2641,2203608,34.7,14.5,na
CO,C,B,3,9/30/16,9:39,6.9,30.3,COCB3,LPS2641,2203608,40.3,17.5,na
CO,C,B,4,9/30/16,9:40,11.6,30.4,COCB4,LPS2641,2203608,31.5,13.6,na
CO,C,B,5,9/30/16,9:41,4.1,30.6,COCB5,LPS2641,2203608,48.3,20.4,na
CO,C,B,6,9/30/16,9:42,8.6,30.6,COCB6,LPS2641,2203608,36.1,15.3,na
CO,C,B,7,9/30/16,9:43,6.6,30.5,COCB7,LPS2641,2203608,40.8,17.3,na
CO,C,B,8,9/30/16,9:45,7.9,30.3,COCB8,LPS2641,2203608,36.8,14.7,na
LE,C,B,1,9/21/16,9:35,33.9,32.4,LECB1,LPS2641,3003303,14.8,6.6,na
LE,C,B,2,9/21/16,9:37,1.4,32.5,LECB2,LPS2641,3003303,62.3,27.4,na
LE,C,B,3,9/21/16,9:39,2.5,32.4,LECB3,LPS2641,3003303,54.2,22.8,na
LE,C,B,4,9/21/16,9:40,11.8,32.4,LECB4,LPS2641,3003303,30.2,13.6,na
LE,C,B,5,9/21/16,9:41,2.1,32.4,LECB5,LPS2641,3003303,56.3,23.1,na
LE,C,B,6,9/21/16,9:42,9.9,32.2,LECB6,LPS2641,3003303,33,14.7,na
LE,C,B,7,9/21/16,9:44,5.6,32.1,LECB7,LPS2641,3003303,42.3,18.3,na
LE,C,B,8,9/21/16,9:45,18.2,31.9,LECB8,LPS2641,3003303,23.6,10.8,na
LE,C,B,1,9/23/16,10:31,19.5,28.9,LECB1,LPS2641,2203305,21.5,9,na
LE,C,B,2,9/23/16,10:33,6.8,28.7,LECB2,LPS2641,2203305,39.1,16.9,na
LE,C,B,3,9/23/16,10:35,4.3,28.4,LECB3,LPS2641,2203305,46.1,19.4,na
LE,C,B,4,9/23/16,10:37,10.8,28.7,LECB4,LPS2641,2203305,31.7,14,na
LE,C,B,5,9/23/16,10:40,19.9,28.7,LECB5,LPS2641,2203305,22,9.7,na
LE,C,B,6,9/23/16,10:41,11.2,28.4,LECB6,LPS2641,2203305,30.9,13.5,na
LE,C,B,7,9/23/16,10:43,2.9,28.5,LECB7,LPS2641,2203305,51.9,21.4,na
LE,C,B,8,9/23/16,10:53,6.6,29.9,LECB8,LPS2641,2203305,40.1,17.9,na
LE,C,B,1,9/26/16,9:21,11.2,33,LECB1,LPS2641,2204107,34.2,14.9,na
LE,C,B,2,9/26/16,9:22,43.3,32.9,LECB2,LPS2641,2204107,14.9,6.9,na
LE,C,B,3,9/26/16,9:23,18.8,32.8,LECB3,LPS2641,2204107,25.8,11.3,na
LE,C,B,4,9/26/16,9:24,18,32.7,LECB4,LPS2641,2204107,26.4,11.5,na
LE,C,B,5,9/26/16,9:25,44.8,32.6,LECB5,LPS2641,2204107,13.6,5.7,na
LE,C,B,6,9/26/16,9:26,11.2,32.6,LECB6,LPS2641,2204107,33.9,14.5,na
LE,C,B,7,9/26/16,9:28,11.7,32.7,LECB7,LPS2641,2204107,33.2,14.3,na
LE,C,B,8,9/26/16,9:29,21.8,32.8,LECB8,LPS2641,2204107,23.5,10.3,na
LE,C,B,1,9/28/16,11:10,43.1,30.5,LECB1,LPS2641,2203709,12.8,5.2,na
LE,C,B,2,9/28/16,11:11,17.5,30.7,LECB2,LPS2641,2203709,24.5,10.1,na
LE,C,B,3,9/28/16,11:13,4.9,30.7,LECB3,LPS2641,2203709,44.6,17.5,na
LE,C,B,4,9/28/16,11:15,13.7,30.7,LECB4,LPS2641,2203709,28.8,12.1,na
LE,C,B,5,9/28/16,11:16,20.2,30.8,LECB5,LPS2641,2203709,21.9,8.7,na
LE,C,B,6,9/28/16,11:17,20.9,30.8,LECB6,LPS2641,2203709,22.2,9.4,na
LE,C,B,7,9/28/16,11:18,15.1,30.8,LECB7,LPS2641,2203709,27.1,11.4,na
LE,C,B,8,9/28/16,11:20,24,30.8,LECB8,LPS2641,2203709,20.2,8.6,na
LE,C,B,1,9/30/16,9:46,40.8,30.2,LECB1,LPS2641,2203608,13.6,5.9,na
LE,C,B,2,9/30/16,9:47,18.3,30.2,LECB2,LPS2641,2203608,23.6,9.8,na
LE,C,B,3,9/30/16,9:49,23.5,30.1,LECB3,LPS2641,2203608,20.2,8.5,na
LE,C,B,4,9/30/16,9:50,16.8,30.1,LECB4,LPS2641,2203608,24.8,10.3,na
LE,C,B,5,9/30/16,9:51,10.8,30,LECB5,LPS2641,2203608,32.2,13.4,na
LE,C,B,6,9/30/16,9:52,22,30,LECB6,LPS2641,2203608,21.2,9,na
LE,C,B,7,9/30/16,9:53,23.5,30,LECB7,LPS2641,2203608,19.4,7.7,na
LE,C,B,8,9/30/16,9:54,9.3,30,LECB8,LPS2641,2203608,34.6,14.4,na
SO,C,B,1,9/21/16,9:25,4.5,32.3,SOCB1,LPS2641,3003303,46.4,20.5,na
SO,C,B,2,9/21/16,9:26,5.2,32.2,SOCB2,LPS2641,3003303,43.7,19.2,na
SO,C,B,3,9/21/16,9:27,3.8,32,SOCB3,LPS2641,3003303,49.3,22,na
SO,C,B,4,9/21/16,9:29,6.5,32.1,SOCB4,LPS2641,3003303,40.2,17.8,na
SO,C,B,5,9/21/16,9:30,8,32,SOCB5,LPS2641,3003303,36.8,16.5,na
SO,C,B,6,9/21/16,9:31,7.4,32,SOCB6,LPS2641,3003303,38.4,17.3,na
SO,C,B,7,9/21/16,9:32,4.2,32.3,SOCB7,LPS2641,3003303,47.6,21.2,na
SO,C,B,8,9/21/16,9:34,4.4,32.2,SOCB8,LPS2641,3003303,46.8,20.8,na
SO,C,B,1,9/23/16,10:54,5.8,29.7,SOCB1,LPS2641,2203305,42.4,19,na
SO,C,B,2,9/23/16,10:56,4.4,29.9,SOCB2,LPS2641,2203305,47,21.1,na
SO,C,B,3,9/23/16,10:58,2.7,30.1,SOCB3,LPS2641,2203305,54.9,24.8,na
SO,C,B,4,9/23/16,11:00,5.7,30.2,SOCB4,LPS2641,2203305,43,19.4,na
SO,C,B,5,9/23/16,11:02,3.9,30.1,SOCB5,LPS2641,2203305,48.8,21.9,na
SO,C,B,6,9/23/16,11:03,4.3,30.1,SOCB6,LPS2641,2203305,47.4,21.3,na
SO,C,B,7,9/23/16,11:06,16,30,SOCB7,LPS2641,2203305,24,9.8,na
SO,C,B,8,9/23/16,11:07,4.3,29.8,SOCB8,LPS2641,2203305,47.3,21.1,na
SO,C,B,1,9/26/16,9:30,2.9,32.7,SOCB1,LPS2641,2204107,55.6,24.1,na
SO,C,B,2,9/26/16,9:31,6.7,32.7,SOCB2,LPS2641,2204107,43.4,19.2,na
SO,C,B,3,9/26/16,9:33,2.9,32.4,SOCB3,LPS2641,2204107,55.8,24.1,na
SO,C,B,4,9/26/16,9:34,10.2,32.1,SOCB4,LPS2641,2204107,36,15.8,na
SO,C,B,5,9/26/16,9:35,4,31.8,SOCB5,LPS2641,2204107,50.9,21.9,na
SO,C,B,6,9/26/16,9:37,6,31.5,SOCB6,LPS2641,2204107,44.3,18.7,na
SO,C,B,7,9/26/16,9:38,10.4,31.5,SOCB7,LPS2641,2204107,35.7,15.6,na
SO,C,B,8,9/26/16,9:39,4.1,31.6,SOCB8,LPS2641,2204107,51.3,22.7,na
SO,C,B,1,9/28/16,11:21,6,30.8,SOCB1,LPS2641,2203709,42.5,18,na
SO,C,B,2,9/28/16,11:22,3.5,30.9,SOCB2,LPS2641,2203709,51.2,21.7,na
SO,C,B,3,9/28/16,11:24,3,31,SOCB3,LPS2641,2203709,53.4,22.6,na
SO,C,B,4,9/28/16,11:25,8.7,31.2,SOCB4,LPS2641,2203709,35.7,14.5,na
SO,C,B,5,9/28/16,11:27,6.7,31.4,SOCB5,LPS2641,2203709,40.4,16.8,na
SO,C,B,6,9/28/16,11:28,6.4,31.5,SOCB6,LPS2641,2203709,41.6,17.7,na
SO,C,B,7,9/28/16,11:30,8.8,31.6,SOCB7,LPS2641,2203709,36,15.1,na
SO,C,B,8,9/28/16,11:31,5.3,31.6,SOCB8,LPS2641,2203709,44.8,19,na
SO,C,B,1,9/30/16,9:55,4.8,30.1,SOCB1,LPS2641,2203608,45.4,18.8,na
SO,C,B,2,9/30/16,9:57,5.1,30.2,SOCB2,LPS2641,2203608,43.8,17.3,na
SO,C,B,3,9/30/16,9:58,4,30.3,SOCB3,LPS2641,2203608,48.9,20.6,na
SO,C,B,4,9/30/16,9:59,8.3,30.3,SOCB4,LPS2641,2203608,36.8,15.6,na
SO,C,B,5,9/30/16,10:00,5.6,30.4,SOCB5,LPS2641,2203608,43.7,18.6,na
SO,C,B,6,9/30/16,10:02,4.9,30.5,SOCB6,LPS2641,2203608,45.6,19.4,na
SO,C,B,7,9/30/16,10:03,5.2,30.7,SOCB7,LPS2641,2203608,44.8,19.2,na
SO,C,B,8,9/30/16,10:04,3.9,30.6,SOCB8,LPS2641,2203608,49.5,21.4,na
CO,T,B,1,9/21/16,9:07,5.6,32.9,COTB1,LPS2641,3003303,42.4,18.6,pre
CO,T,B,2,9/21/16,9:08,3.2,32.9,COTB2,LPS2641,3003303,52,23.2,pre
CO,T,B,3,9/21/16,9:10,4.2,32.7,COTB3,LPS2641,3003303,47.6,21.2,pre
CO,T,B,4,9/21/16,9:12,3.9,33,COTB4,LPS2641,3003303,48.3,21.3,pre
CO,T,B,5,9/21/16,11:00,1.9,30.2,COTB5,LPS2641,3003303,58.4,25.3,post
CO,T,B,6,9/21/16,11:02,3.3,30,COTB6,LPS2641,3003303,50.6,21.6,post
CO,T,B,7,9/21/16,11:04,3.4,30.1,COTB7,LPS2641,3003303,50.2,21.8,post
CO,T,B,8,9/21/16,11:05,3.7,29.8,COTB8,LPS2641,3003303,49,20.8,post
CO,T,B,1,9/23/16,8:56,5.2,29,COTB1,LPS2641,2203305,43.7,19,pre
CO,T,B,2,9/23/16,8:59,4.6,29.1,COTB2,LPS2641,2203305,46.3,20.6,pre
CO,T,B,3,9/23/16,9:02,3.7,29,COTB3,LPS2641,2203305,48.9,21.1,pre
CO,T,B,4,9/23/16,9:05,5.6,29.1,COTB4,LPS2641,2203305,41.1,16.4,pre
CO,T,B,5,9/23/16,11:38,4.6,27.9,COTB5,LPS2641,2203305,46.2,20.5,post
