spp,t_c,block,sample,date,pre_post,time,F700_Lvl,F735_Lvl,CFR,concentration
BA,C,A,1,8/24/16,na,13:58:31,333,324,0.97,224
BA,C,A,1,8/26/16,na,13:50:26,182,240,1.32,447
BA,C,A,1,8/29/16,na,13:00:38,344,423,1.23,390
BA,C,A,1,8/31/16,na,11:52:04,238,294,1.24,396
BA,C,A,1,9/2/16,na,11:18:35,458,603,1.32,447
BA,C,B,1,8/24/16,na,14:12:46,181,214,1.18,357
BA,C,B,1,8/26/16,na,13:32:20,204,277,1.36,471
BA,C,B,1,8/29/16,na,13:08:48,342,414,1.21,377
BA,C,B,1,8/31/16,na,12:00:36,210,263,1.25,403
BA,C,B,1,9/2/16,na,11:26:29,361,493,1.37,479
BA,C,A,2,8/24/16,na,13:58:40,182,227,1.25,401
BA,C,A,2,8/26/16,na,13:50:41,160,227,1.42,511
BA,C,A,2,8/29/16,na,13:00:47,385,477,1.24,396
BA,C,A,2,8/31/16,na,11:52:12,156,225,1.44,523
BA,C,A,2,9/2/16,na,11:18:47,399,513,1.29,428
BA,C,B,2,8/24/16,na,14:12:55,227,271,1.2,370
BA,C,B,2,8/26/16,na,13:32:48,225,304,1.35,465
BA,C,B,2,8/29/16,na,13:08:58,353,399,1.13,326
BA,C,B,2,8/31/16,na,12:00:47,371,419,1.13,326
BA,C,B,2,9/2/16,na,11:26:37,418,518,1.24,396
BA,C,A,3,8/24/16,na,13:58:50,203,253,1.25,401
BA,C,A,3,8/26/16,na,13:50:52,160,223,1.4,498
BA,C,A,3,8/29/16,na,13:00:57,372,463,1.25,403
BA,C,A,3,8/31/16,na,11:52:20,159,225,1.42,511
BA,C,A,3,9/2/16,na,11:18:57,287,409,1.43,517
BA,C,B,3,8/24/16,na,14:13:11,162,226,1.4,496
BA,C,B,3,8/26/16,na,13:33:11,455,476,1.05,275
BA,C,B,3,8/29/16,na,13:09:10,493,555,1.13,326
BA,C,B,3,8/31/16,na,12:00:57,276,304,1.1,307
BA,C,B,3,9/2/16,na,11:26:45,391,495,1.27,415
BA,C,A,4,8/24/16,na,13:59:00,289,332,1.15,338
BA,C,A,4,8/26/16,na,13:51:04,278,322,1.16,345
BA,C,A,4,8/29/16,na,13:01:07,334,427,1.28,422
BA,C,A,4,8/31/16,na,11:52:32,285,341,1.2,371
BA,C,A,4,9/2/16,na,11:19:08,506,633,1.25,403
BA,C,B,4,8/24/16,na,14:13:20,179,221,1.24,395
BA,C,B,4,8/26/16,na,13:33:29,200,256,1.28,420
BA,C,B,4,8/29/16,na,13:09:20,440,493,1.12,320
BA,C,B,4,8/31/16,na,12:01:06,163,219,1.34,460
BA,C,B,4,9/2/16,na,11:26:53,409,510,1.25,403
BA,C,A,5,8/24/16,na,13:59:09,374,393,1.05,275
BA,C,A,5,8/26/16,na,13:51:14,184,246,1.34,460
BA,C,A,5,8/29/16,na,13:01:18,632,694,1.1,307
BA,C,A,5,8/31/16,na,11:52:41,258,316,1.23,390
BA,C,A,5,9/2/16,na,11:19:18,507,593,1.17,352
BA,C,B,5,8/24/16,na,14:13:32,212,240,1.14,332
BA,C,B,5,8/26/16,na,13:33:58,268,310,1.16,344
BA,C,B,5,8/29/16,na,13:09:31,252,329,1.31,441
BA,C,B,5,8/31/16,na,12:01:16,164,222,1.36,472
BA,C,B,5,9/2/16,na,11:27:02,352,469,1.33,453
BA,C,A,6,8/24/16,na,13:59:19,219,266,1.22,382
BA,C,A,6,8/26/16,na,13:51:25,177,232,1.31,441
BA,C,A,6,8/29/16,na,13:01:30,458,521,1.14,333
BA,C,A,6,8/31/16,na,11:52:52,246,229,0.93,199
BA,C,A,6,9/2/16,na,11:19:35,510,589,1.15,339
BA,C,B,6,8/24/16,na,14:13:46,391,409,1.05,275
BA,C,B,6,8/26/16,na,13:34:16,521,568,1.09,300
BA,C,B,6,8/29/16,na,13:09:41,611,653,1.07,288
BA,C,B,6,8/31/16,na,12:01:24,250,283,1.13,326
BA,C,B,6,9/2/16,na,11:27:12,602,658,1.09,301
BA,C,A,7,8/24/16,na,13:59:29,196,258,1.32,446
BA,C,A,7,8/26/16,na,13:51:36,164,225,1.37,479
BA,C,A,7,8/29/16,na,13:01:40,489,550,1.13,326
BA,C,A,7,8/31/16,na,11:53:02,169,233,1.38,485
BA,C,A,7,9/2/16,na,11:19:45,419,567,1.35,466
BA,C,B,7,8/24/16,na,14:13:57,211,223,1.06,281
BA,C,B,7,8/26/16,na,13:34:30,198,277,1.4,496
BA,C,B,7,8/29/16,na,13:09:51,243,319,1.32,447
BA,C,B,7,8/31/16,na,12:01:32,171,234,1.37,479
BA,C,B,7,9/2/16,na,11:27:21,397,526,1.33,453
BA,C,A,8,8/24/16,na,13:59:38,378,422,1.12,319
BA,C,A,8,8/26/16,na,13:51:50,262,312,1.19,364
BA,C,A,8,8/29/16,na,13:01:51,314,417,1.33,453
BA,C,A,8,8/31/16,na,11:53:11,325,359,1.11,314
BA,C,A,8,9/2/16,na,11:19:54,673,794,1.18,358
BA,C,B,8,8/24/16,na,14:14:06,199,260,1.31,439
BA,C,B,8,8/26/16,na,13:34:46,253,324,1.28,420
BA,C,B,8,8/29/16,na,13:10:05,319,397,1.25,403
BA,C,B,8,8/31/16,na,12:01:42,162,216,1.34,460
