spp,t_c,block,sample,type,date,pre_post,time,Mod Int,Det Gain,Sat Flash Int,Sat PW,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Actinic Mode,Actinic Dur,Ke,Kq,PAR Corr,F',Fm',yield,ETR,PAR,Temp
BA,T,B,1,1p Y(II),8/24/16,pre,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,551,1871,0.705,35.5,120,25
BA,T,B,2,1p Y(II),8/24/16,pre,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,276,504,0.452,22.7,120,25
BA,T,B,3,1p Y(II),8/24/16,pre,11:07:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1058,3046,0.652,32.8,120,25
BA,T,B,4,1p Y(II),8/24/16,pre,11:08:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,460,639,0.28,14.1,120,25
BA,T,B,5,1p Y(II),8/24/16,pre,11:08:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1902,3556,0.465,23.4,120,25
BA,T,B,6,1p Y(II),8/24/16,pre,11:08:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,860,2183,0.606,30.5,120,25
BA,T,B,7,1p Y(II),8/24/16,pre,11:08:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,820,1279,0.358,18,120,25
BA,T,B,8,1p Y(II),8/24/16,pre,11:08:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,357,577,0.381,19.2,120,25
BA,T,A,1,1p Y(II),8/24/16,pre,11:19:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,631,2244,0.718,36.1,120,25
BA,T,A,2,1p Y(II),8/24/16,pre,11:19:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,650,2203,0.704,35.4,120,25
BA,T,A,3,1p Y(II),8/24/16,pre,11:20:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,941,2925,0.678,34.1,120,25
BA,T,A,4,1p Y(II),8/24/16,pre,11:20:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,533,1883,0.716,36,120,25
BA,T,A,5,1p Y(II),8/24/16,pre,11:20:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,563,1741,0.676,34,120,25
BA,T,A,6,1p Y(II),8/24/16,pre,11:20:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,772,1889,0.591,29.7,120,25
BA,T,A,7,1p Y(II),8/24/16,pre,11:20:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,704,1478,0.523,26.3,120,25
BA,T,A,8,1p Y(II),8/24/16,pre,11:21:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,620,2120,0.707,35.6,120,25
BA,C,A,1,1p Y(II),8/24/16,na,11:28:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,303,547,0.446,22.4,120,25
BA,C,A,2,1p Y(II),8/24/16,na,11:28:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,660,2037,0.675,34,120,25
BA,C,A,3,1p Y(II),8/24/16,na,11:29:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,202,718,0.718,36.1,120,25
BA,C,A,4,1p Y(II),8/24/16,na,11:29:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,598,1776,0.663,33.4,120,25
BA,C,A,5,1p Y(II),8/24/16,na,11:29:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,267,621,0.57,28.7,120,25
BA,C,A,6,1p Y(II),8/24/16,na,11:29:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,873,2171,0.597,30,120,25
BA,C,A,7,1p Y(II),8/24/16,na,11:29:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,890,1861,0.521,26.2,120,25
BA,C,A,8,1p Y(II),8/24/16,na,11:29:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,457,736,0.379,19,120,25
BA,C,B,1,1p Y(II),8/24/16,na,11:44:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,720,2593,0.722,36.3,120,25
BA,C,B,2,1p Y(II),8/24/16,na,11:44:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1235,2933,0.578,29.1,120,25
BA,C,B,3,1p Y(II),8/24/16,na,11:44:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,725,1891,0.616,31,120,25
BA,C,B,4,1p Y(II),8/24/16,na,11:45:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,833,2555,0.673,33.9,120,25
BA,C,B,5,1p Y(II),8/24/16,na,11:45:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,339,1122,0.697,35.1,120,25
BA,C,B,6,1p Y(II),8/24/16,na,11:45:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1108,1602,0.308,15.5,120,25
BA,C,B,7,1p Y(II),8/24/16,na,11:45:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,646,2140,0.698,35.1,120,25
BA,C,B,8,1p Y(II),8/24/16,na,11:45:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,634,1188,0.466,23.4,120,25
BA,T,A,1,1p Y(II),8/24/16,post,14:55:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,307,1175,0.738,37.1,120,25
BA,T,A,2,1p Y(II),8/24/16,post,14:55:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,416,1462,0.715,36,120,25
BA,T,A,3,1p Y(II),8/24/16,post,14:55:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,228,531,0.57,28.7,120,25
BA,T,A,4,1p Y(II),8/24/16,post,14:55:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,599,2473,0.757,38.1,120,25
BA,T,A,5,1p Y(II),8/24/16,post,14:55:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,402,1230,0.673,33.9,120,25
BA,T,A,6,1p Y(II),8/24/16,post,14:56:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,120,325,0.63,31.7,120,25
BA,T,A,7,1p Y(II),8/24/16,post,14:56:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1130,2480,0.544,27.4,120,25
BA,T,A,8,1p Y(II),8/24/16,post,14:56:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,124,468,0.735,37,120,25
BA,T,B,1,1p Y(II),8/24/16,post,15:31:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,374,943,0.603,30.3,120,25
BA,T,B,2,1p Y(II),8/24/16,post,15:31:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,742,1624,0.543,27.3,120,25
BA,T,B,3,1p Y(II),8/24/16,post,15:31:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,194,831,0.766,38.6,120,25
BA,T,B,4,1p Y(II),8/24/16,post,15:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1961,3511,0.441,22.2,120,25
BA,T,B,5,1p Y(II),8/24/16,post,15:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,640,2465,0.74,37.2,120,25
BA,T,B,6,1p Y(II),8/24/16,post,15:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,271,1027,0.736,37,120,25
BA,T,B,7,1p Y(II),8/24/16,post,15:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,529,1784,0.703,35.4,120,25
BA,T,B,8,1p Y(II),8/24/16,post,15:32:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,295,479,0.384,19.3,120,25
BA,T,A,1,1p Y(II),8/26/16,pre,8:19:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,883,2558,0.654,32.9,120,25
BA,T,A,2,1p Y(II),8/26/16,pre,8:20:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,134,484,0.723,36.4,120,25
BA,T,A,3,1p Y(II),8/26/16,pre,8:20:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,262,1009,0.74,37.2,120,25
BA,T,A,4,1p Y(II),8/26/16,pre,8:22:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1273,2479,0.486,24.4,120,25
BA,T,A,5,1p Y(II),8/26/16,pre,8:23:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1071,3501,0.694,34.9,120,25
BA,T,A,6,1p Y(II),8/26/16,pre,8:23:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,259,588,0.559,28.1,120,25
BA,T,A,7,1p Y(II),8/26/16,pre,8:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,449,925,0.514,25.8,120,25
BA,T,A,8,1p Y(II),8/26/16,pre,8:24:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1489,2290,0.349,17.5,120,25
BA,T,B,1,1p Y(II),8/26/16,pre,8:42:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,354,879,0.597,30,120,25
BA,T,B,2,1p Y(II),8/26/16,pre,8:42:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,157,226,0.305,15.3,120,25
BA,T,B,3,1p Y(II),8/26/16,pre,8:43:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,320,508,0.37,18.6,120,25
