spp,t_c,block,sample,type,date,time,Mod Int,Det Gain,Sat Flash Int,Sat PW,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Actinic Mode,Actinic Dur,Ke,Kq,PAR Corr,F',Fm',yield,ETR,PAR,Temp
SO,T,A,1,1p Y(II),9/21/16,8:54,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,251,444,0.434,21.8,120,25
SO,T,A,2,1p Y(II),9/21/16,8:54,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,441,674,0.345,17.3,120,25
SO,T,A,3,1p Y(II),9/21/16,8:54,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,203,527,0.614,30.9,120,25
SO,T,A,4,1p Y(II),9/21/16,8:54,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,379,1045,0.637,32.1,120,25
SO,T,A,5,1p Y(II),9/21/16,8:54,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,261,322,0.189,9.5,120,25
SO,T,A,6,1p Y(II),9/21/16,8:55,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,229,297,0.228,11.4,120,25
SO,T,A,7,1p Y(II),9/21/16,8:55,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,422,682,0.381,19.2,120,25
SO,T,A,8,1p Y(II),9/21/16,8:55,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,990,1490,0.335,16.8,120,25
SO,T,A,1,1p Y(II),9/21/16,10:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,750,1463,0.487,24.5,120,25
SO,T,A,2,1p Y(II),9/21/16,10:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1319,2205,0.401,20.2,120,25
SO,T,A,3,1p Y(II),9/21/16,10:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,152,349,0.564,28.4,120,25
SO,T,A,4,1p Y(II),9/21/16,10:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,491,1607,0.694,34.9,120,25
SO,T,A,5,1p Y(II),9/21/16,10:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,390,490,0.204,10.2,120,25
SO,T,A,6,1p Y(II),9/21/16,10:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1512,2380,0.364,18.3,120,25
SO,T,A,7,1p Y(II),9/21/16,10:10,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,215,429,0.498,25,120,25
SO,T,A,8,1p Y(II),9/21/16,10:10,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1538,2355,0.346,17.4,120,25
SO,T,A,1,1p Y(II),9/23/16,9:08,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1403,2514,0.441,22.2,120,25
SO,T,A,2,1p Y(II),9/23/16,9:08,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,619,936,0.338,17,120,25
SO,T,A,3,1p Y(II),9/23/16,9:08,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1147,2933,0.608,30.6,120,25
SO,T,A,4,1p Y(II),9/23/16,9:08,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,402,1185,0.66,33.2,120,25
SO,T,A,5,1p Y(II),9/23/16,9:08,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1160,2419,0.52,26.2,120,25
SO,T,A,6,1p Y(II),9/23/16,9:08,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,2232,3242,0.311,15.6,120,25
SO,T,A,7,1p Y(II),9/23/16,9:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1828,3031,0.396,19.9,120,25
SO,T,A,8,1p Y(II),9/23/16,9:09,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1211,1873,0.353,17.7,120,25
SO,T,A,1,1p Y(II),9/23/16,9:59,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,284,1000,0.716,36,120,25
SO,T,A,2,1p Y(II),9/23/16,9:59,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,929,1617,0.425,21.4,120,25
SO,T,A,3,1p Y(II),9/23/16,9:59,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,507,1525,0.667,33.6,120,25
SO,T,A,4,1p Y(II),9/23/16,9:59,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,614,2037,0.698,35.1,120,25
SO,T,A,5,1p Y(II),9/23/16,9:59,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,452,583,0.224,11.2,120,25
SO,T,A,6,1p Y(II),9/23/16,9:59,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1297,1866,0.304,15.3,120,25
SO,T,A,7,1p Y(II),9/23/16,9:59,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,881,2671,0.67,33.7,120,25
SO,T,A,8,1p Y(II),9/23/16,10:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1798,2805,0.359,18,120,25
SO,T,A,1,1p Y(II),9/26/16,8:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1201,2011,0.402,20.2,120,25
SO,T,A,2,1p Y(II),9/26/16,8:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,965,1320,0.268,13.5,120,25
SO,T,A,3,1p Y(II),9/26/16,8:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1298,1851,0.298,15,120,25
SO,T,A,4,1p Y(II),9/26/16,8:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1158,2976,0.61,30.7,120,25
SO,T,A,5,1p Y(II),9/26/16,8:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1557,2279,0.316,15.9,120,25
SO,T,A,6,1p Y(II),9/26/16,8:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1676,2808,0.403,20.3,120,25
SO,T,A,7,1p Y(II),9/26/16,8:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1504,2439,0.383,19.2,120,25
SO,T,A,8,1p Y(II),9/26/16,8:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,998,1692,0.41,20.6,120,25
SO,T,A,1,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,172,248,0.306,15.4,120,25
SO,T,A,2,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,804,1450,0.445,22.4,120,25
SO,T,A,3,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,310,746,0.584,29.4,120,25
SO,T,A,4,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,306,818,0.625,31.5,120,25
SO,T,A,5,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,787,1083,0.273,13.7,120,25
SO,T,A,6,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1555,2669,0.417,21,120,25
SO,T,A,7,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1090,1677,0.35,17.6,120,25
SO,T,A,8,1p Y(II),9/26/16,9:36,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,946,1521,0.378,19,120,25
SO,T,A,1,1p Y(II),9/28/16,10:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,568,933,0.391,19.7,120,25
SO,T,A,2,1p Y(II),9/28/16,10:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,243,384,0.367,18.4,120,25
SO,T,A,3,1p Y(II),9/28/16,10:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1620,2080,0.221,11.1,120,25
SO,T,A,4,1p Y(II),9/28/16,10:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,471,1547,0.695,35,120,25
SO,T,A,5,1p Y(II),9/28/16,10:22,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1474,2336,0.369,18.5,120,25
SO,T,A,6,1p Y(II),9/28/16,10:22,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1365,2260,0.396,19.9,120,25
SO,T,A,7,1p Y(II),9/28/16,10:22,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1388,1994,0.303,15.2,120,25
SO,T,A,8,1p Y(II),9/28/16,10:23,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,411,695,0.408,20.5,120,25
SO,T,A,1,1p Y(II),9/30/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,547,1037,0.472,23.7,120,25
SO,T,A,2,1p Y(II),9/30/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,643,942,0.317,15.9,120,25
SO,T,A,3,1p Y(II),9/30/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,963,1209,0.203,10.2,120,25
SO,T,A,4,1p Y(II),9/30/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1368,2172,0.37,18.6,120,25
SO,T,A,5,1p Y(II),9/30/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,912,1025,0.11,5.5,120,25
SO,T,A,6,1p Y(II),9/30/16,8:30,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1249,1979,0.368,18.5,120,25
SO,T,A,7,1p Y(II),9/30/16,8:31,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,733,855,0.142,7.1,120,25
SO,T,A,8,1p Y(II),9/30/16,8:31,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1851,2753,0.327,16.4,120,25
SO,T,A,1,1p Y(II),9/30/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,805,1408,0.428,21.5,120,25
SO,T,A,2,1p Y(II),9/30/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1558,2366,0.341,17.1,120,25
SO,T,A,3,1p Y(II),9/30/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1500,1920,0.218,10.9,120,25
SO,T,A,4,1p Y(II),9/30/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1505,2532,0.405,20.4,120,25
SO,T,A,5,1p Y(II),9/30/16,9:24,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,845,1070,0.21,10.5,120,25
SO,T,A,6,1p Y(II),9/30/16,9:25,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1904,2426,0.215,10.8,120,25
SO,T,A,7,1p Y(II),9/30/16,9:25,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,906,1371,0.339,17,120,25
SO,T,A,8,1p Y(II),9/30/16,9:25,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1875,2756,0.319,16,120,25
SO,T,B,1,1p Y(II),9/21/16,9:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,351,1100,0.68,34.2,120,25
SO,T,B,2,1p Y(II),9/21/16,9:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,494,1261,0.608,30.6,120,25
SO,T,B,3,1p Y(II),9/21/16,9:00,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,260,732,0.644,32.4,120,25
SO,T,B,4,1p Y(II),9/21/16,9:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,354,461,0.232,11.6,120,25
SO,T,B,5,1p Y(II),9/21/16,9:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1006,2648,0.62,31.2,120,25
SO,T,B,6,1p Y(II),9/21/16,9:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,451,1089,0.585,29.4,120,25
SO,T,B,7,1p Y(II),9/21/16,9:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,380,608,0.375,18.9,120,25
SO,T,B,8,1p Y(II),9/21/16,9:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,286,348,0.178,8.9,120,25
SO,T,B,1,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,381,1017,0.625,31.5,120,25
SO,T,B,2,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,758,2172,0.651,32.8,120,25
SO,T,B,3,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1081,2962,0.635,32,120,25
SO,T,B,4,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,575,777,0.259,13,120,25
SO,T,B,5,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,734,1574,0.533,26.8,120,25
SO,T,B,6,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,241,514,0.531,26.7,120,25
SO,T,B,7,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,185,271,0.317,15.9,120,25
SO,T,B,8,1p Y(II),9/21/16,10:16,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,515,630,0.182,9.1,120,25
SO,T,B,1,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,313,861,0.636,32,120,25
SO,T,B,2,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,346,889,0.61,30.7,120,25
SO,T,B,3,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1052,3077,0.658,33.1,120,25
SO,T,B,4,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1069,1438,0.256,12.9,120,25
SO,T,B,5,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,616,1582,0.61,30.7,120,25
SO,T,B,6,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,237,583,0.593,29.8,120,25
SO,T,B,7,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,396,644,0.385,19.4,120,25
SO,T,B,8,1p Y(II),9/23/16,9:06,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1297,1724,0.247,12.4,120,25
SO,T,B,1,1p Y(II),9/23/16,12:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1008,2734,0.631,31.8,120,25
SO,T,B,2,1p Y(II),9/23/16,12:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1053,2798,0.623,31.3,120,25
SO,T,B,3,1p Y(II),9/23/16,12:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1113,3469,0.679,34.2,120,25
SO,T,B,4,1p Y(II),9/23/16,12:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,637,837,0.238,11.9,120,25
SO,T,B,5,1p Y(II),9/23/16,12:20,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1209,3055,0.604,30.4,120,25
SO,T,B,6,1p Y(II),9/23/16,12:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,675,1336,0.494,24.8,120,25
SO,T,B,7,1p Y(II),9/23/16,12:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,761,1312,0.419,21.1,120,25
SO,T,B,8,1p Y(II),9/23/16,12:21,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,2250,3122,0.279,14,120,25
SO,T,B,1,1p Y(II),9/26/16,8:13,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,931,2966,0.686,34.5,120,25
SO,T,B,2,1p Y(II),9/26/16,8:13,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,575,1726,0.666,33.5,120,25
SO,T,B,3,1p Y(II),9/26/16,8:14,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,171,457,0.625,31.5,120,25
SO,T,B,4,1p Y(II),9/26/16,8:14,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1009,2668,0.621,31.2,120,25
SO,T,B,5,1p Y(II),9/26/16,8:14,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1497,3130,0.521,26.2,120,25
SO,T,B,6,1p Y(II),9/26/16,8:14,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1135,3583,0.683,34.4,120,25
SO,T,B,7,1p Y(II),9/26/16,8:15,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1020,2457,0.584,29.4,120,25
SO,T,B,8,1p Y(II),9/26/16,8:15,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1634,2664,0.386,19.4,120,25
SO,T,B,1,1p Y(II),9/26/16,10:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,497,1357,0.633,31.8,120,25
SO,T,B,2,1p Y(II),9/26/16,10:01,50,4,75,1,Standard,Off,50,5,Off,1,0.5,0.84,1,1122,2974,0.622,31.3,120,25
