spp,t_c,block,plant,sample,area,dry_wt,SLA
CO,C,A,1,3,63.76,0.162,393.5802469
CO,C,A,1,2,57.62,0.18,320.1111111
CO,C,A,1,1,16.58,0.054,307.037037
CO,C,A,2,3,47.95,0.138,347.4637681
CO,C,A,2,2,37.25,0.09,413.8888889
CO,C,A,2,1,23.66,0.072,328.6111111
CO,C,A,3,3,74.77,0.26,287.5769231
CO,C,A,3,2,46.05,0.161,286.0248447
CO,C,A,3,1,54.93,0.142,386.8309859
CO,C,A,4,3,70.68,0.221,319.8190045
CO,C,A,4,2,29.64,0.093,318.7096774
CO,C,A,4,1,37.04,0.091,407.032967
CO,C,A,5,3,65.31,0.207,315.5072464
CO,C,A,5,2,80.66,0.204,395.3921569
CO,C,A,5,1,29.84,0.084,355.2380952
CO,C,A,6,3,68.02,0.183,371.6939891
CO,C,A,6,2,59.14,0.151,391.6556291
CO,C,A,6,1,27.38,0.096,285.2083333
CO,C,A,7,3,49.21,0.132,372.8030303
CO,C,A,7,2,51.35,0.13,395
CO,C,A,7,1,14.64,0.049,298.7755102
CO,C,A,8,3,45.56,0.145,314.2068966
CO,C,A,8,2,54.42,0.163,333.8650307
CO,C,A,8,1,9.81,0.059,166.2711864
CO,C,B,1,3,55.48,0.145,382.6206897
CO,C,B,1,2,49.77,0.104,478.5576923
CO,C,B,1,1,26.11,0.065,401.6923077
CO,C,B,2,3,44.96,0.098,458.7755102
CO,C,B,2,2,31.63,0.068,465.1470588
CO,C,B,2,1,10.67,0.02,533.5
CO,C,B,3,3,54.76,0.169,324.0236686
CO,C,B,3,2,48.85,0.123,397.1544715
CO,C,B,3,1,24.56,0.075,327.4666667
CO,C,B,4,3,45.14,0.109,414.1284404
CO,C,B,4,2,35.23,0.102,345.3921569
CO,C,B,4,1,13.99,0.032,437.1875
CO,C,B,5,3,49.52,0.14,353.7142857
CO,C,B,5,2,50.58,0.127,398.2677165
CO,C,B,5,1,10.89,0.037,294.3243243
CO,C,B,6,3,38.21,0.118,323.8135593
CO,C,B,6,2,19.17,0.055,348.5454545
CO,C,B,6,1,12.78,0.025,511.2
CO,C,B,7,3,64.71,0.186,347.9032258
CO,C,B,7,2,82.28,0.233,353.1330472
CO,C,B,7,1,25.09,0.053,473.3962264
CO,C,B,8,3,56.27,0.157,358.4076433
CO,C,B,8,2,54.31,0.147,369.4557823
CO,C,B,8,1,25.81,0.074,348.7837838
LE,C,A,1,3,1.34,0.005,268
LE,C,A,1,2,1.12,0.004,280
LE,C,A,1,1,0.96,0.005,192
LE,C,A,2,3,1.53,0.006,255
LE,C,A,2,2,0.72,0.003,240
LE,C,A,2,1,0.85,0.002,425
LE,C,A,3,3,1.69,0.011,153.6363636
LE,C,A,3,2,2.1,0.007,300
LE,C,A,3,1,1.37,0.005,274
LE,C,A,4,3,1.22,0.006,203.3333333
LE,C,A,4,2,1.28,0.006,213.3333333
LE,C,A,4,1,1.11,0.003,370
LE,C,A,5,3,0.82,0.006,136.6666667
